Company;Position;Requirement;Description;Quota;Available;Address;
Idemia Labs Indonesia;Software Engineer;-  Able to do program in .NET or Java or C or  C++  or  Javascript  or  PHP or HTML/CSS  or Python  -  Preferably having knowledge on (operating systems, networking, AT commands)  -  Basic understanding of database & web knowledge would be good  - Experience in automation tool likes Silk Test, Jenkins, Elastic. is an advantage.  - Have an experience and knowledge with agile Scrum and Kanban development methodologies.  - Ability and willing to learn new languages and technologies  - High interests in monitoring tools like Prometheus, Grafana, and logging solutions such as ELK (Elasticsearch, Logstash, Kibana) or Splunk.  - High interests in containerization and orchestration tools such as Docker.    ;Develop and transforms requirements into software according to design, to maximize business value and customer satisfaction.  Will focus on improve and stabilize R&D CPS (Common personalization System) automation with developing current available automation tool.  The interns also will involve in:  1. Set up Jenkins test automation for our product, especially for new test PC.  2. Improve or standardize our Jenkins pipeline.  3. Supporting dashboard generation and enhancement of problem reporting, process non compliances and audit program  4. To analyze and implement quality checklist related to software quality in automotive industry using particular quality standard (IATF) and framework (ASPICE)  5. Participation in software quality assessment / review    ;8;6;AIA Central Lt.38, Jalan Jendral Sudirman, KAV 48A Jakarta DKI Jakarta 12910 Indonesia ;
PT Awan Integrasi Sandidata ;Cloud Computing Dev.;Basic English;1. Support cloud engineer task and finalize within SLA  2. Support technical documentation (project implementation & troubleshooting)  3. Support & monitor customer cloud environment  4. Support to provide monitoring report  5. Support for operational cloud solution research & development;6;6;Jl. Dr. Makaliwe Raya No. 30A;
PT Hashmicro Solusi Indonesia;Systems Analyst;Qualifications:    - Proficient in at least one programming language and database management to be able to understand and communicate effectively with the developer team  - Candidates must possess at least a Bachelor's Degree in Computer Science/Information Technology or equivalent.  - Knowledge about the Integrated ERP concepts experienced in some ERP systems will be an advantage  - Good knowledge of System Analysis and Design methodology  - Good knowledge about System Development Life Cycle (SDLC) and other Method related to Software Development  - Strong knowledge of design, development, modeling, relational Database (SQL Server), Object Oriented Programming (OOP) concept and MVC concept  - Experienced in some Object Oriented languages (such as Java, PHP, Net) will be an advantage  - Experienced in developing and/or designing applications from scratch  - Ability to explain technical details  - Ability to break down and delegate product development task  - Proficient in operating Microsoft Office (especially Word & Excel)  - Proficient in operating Google Drive, Google Sheet, Google Doc  - Accounting Knowledge is a plus  - Knowledge in Odoo is a plus;Responsibilities:    - Perform system analysis and design  - Examining and evaluating current HashMicro's system features or functions module  - Conduct research & development on leading practices & trends to enhance and enrich HashMicro's ERP system  - Create technical detail task document for developing new or improving current features or functions  - Break down and delegate development tasks to Developers  - Testing developed features or functions to validate that they are working as expected  - Ensuring development deadlines and budget constraints are met  - Accountable for all software development phases (SDLC) to ensure on-time completion  - Responsible for managing simultaneous software development  - Maintain communication with product development stakeholders  - Must be able to clearly communicate to product development stakeholders: Developers, Testers, Product Owners, Product Managers, Project team, Directors, etc  - Anticipate issues and act proactively to address potential issues and serve as a subject matter expert;7;6;Jalan Balikpapan Raya No. 9 A - C;
PT Hashmicro Solusi Indonesia;Programmer;Qualification:    - Understanding of Odoo framework development  - Able to integrate multiple data sources and databases into one system  - Understanding of fundamental design principles behind a scalable application  - Understanding of the threading limitations of Python and multi-process architecture  - Interest in enterprise applications development;Job Description    - Coordinating with development teams to determine application requirements.  - Writing scalable code using Odoo Framework  - Testing and debugging applications.  - Analyze, design and optimize database structure.  - Developing back-end components.  - Integrating user-facing elements using server-side logic.  - Assessing and prioritizing client feature requests.  - Integrating data storage solutions.  - Coordinating with front-end developers.  - Reprogramming existing databases to improve functionality.;6;6;Jalan Balikpapan Raya No. 9 A - C;
PT. Bank CIMB Niaga, Tbk;UI/UX Designer;Pengembangan UI/UX Sistem Human Resources (Kampus Merdeka Batch 6 di CIMB Niaga)    1. Mahasiswa perguruan tinggi aktif yang menempuh minimum semester 6  2. Jurusan Teknik Informatika, Sistem  Informasi, dan sejenisnya  3. IPK minimum 3.25  4. Sehat jasmani dan rohani  5. Jurusan Teknik Informatika, Sistem  Informasi, Teknik Industri, Manajemen, Psikologi, dan sejenisnya  6. Memiliki keterampilan/kemampuan yang baik dalam:  a. Microsoft Office (terutama Excel & PowerPoint)  b. Merancang desain aplikasi (UI/UX) dengan menggunakan aplikasi Figma atau sejenis  c. Analisa proses bisnis  d. Komunikasi secara verbal maupun tulisan  e. Berpikir kritis dan memiliki inisiatif tinggi;Mahasiwa akan dilibatkan di dalam Project Arjuna (Aplikasi Penunjang Kerja), yaitu  sistem Human Resources yang mencakup segala aktivitas/proses terkait kepegawaian di Bank CIMB Niaga, dengan cakupan pekerjaan sebagai berikut:  1. Melakukan pemetaan atas fitur-fitur dan alur proses yang perlu dikembangkan  2. Menyusun rancangan awal atas proses kerja dari setiap fitur yang akan dikembangkan  3. Menyiapkan dokumen yang dibutuhkan dalam proses penyusunan fitur  4. Merancang desain UI/ UX untuk aplikasi HR;6;6;Jakarta Selatan;
PT. Global Digital Niaga (blibli.com);Software Engineer;Good troubleshooting and problem solving skills  Love to experiment and try new things related to Web and Mobile technologies  Proficient understanding of web markup, including HTML5, JS and CSS  Basic understanding of CSS pre-processing platforms, such as LESS and SASS  Experienced well with advanced JavaScript libraries and frameworks, such as VueJS, AngularJS, ReactJS etc  Having experience in projects working on asynchronous request handling, SPA, API and JSON  Understand on how RESTful-API flow works for Web technologies  Have been using version control such as git to help keep track in development  Have some experience related responsive design on several port which have different view size ;Software Development Engineer Intern    On the front side of things, you help build seamlessness of the software to accurately express the excellence that Blibli.com aspires to deliver to the users, because excellence is the key ingredient to customer satisfaction. As a Software Development Engineer at Blibli.com, you get to immerse yourself into every stage of the agile software development lifecycle, develop documentations, and deliver solutions to make the interface much more intuitive and seamless. ;9;6;Sarana Jaya Pusat;
PT. Hartono Istana Teknologi (Polytron-Kudus);Web Developer;Kemampuan berpikir kritis, kreatif dan memiliki inisiatif  Mampu bekerja sama dalam tim  Mampu berkomunikasi dengan baik  Memiliki kemampuan analisa  Kemauan untuk belajar hal baru  Mengerti SAP menjadi nilai lebih;Pembuatan Functional Spesification suatu Aplikasi (UI dan UX, tidak melakukan coding tapi akan membuat konsep aplikasi)  Pembuatan Sistem dan Prosedur  Trial aplikasi   Dokumentasi hasil trial   Pembuatan user manual aplikasi dan flowchart;6;6;Jl. KHR Asnawi PO Box 126, Kaliwungu Kudus;
PT. Hexaon Business Mitrasindo;Back End Developer;Having understanding backend programming language, especially java, Having analytic thinking and good problem solving, readable and maintaining code, Basic knowledge of JVM, having knowledge of SQL/NoSQL and Caches, strong analytical and problem solving, having technical knowwledge of Git, having knowledge of spring boot is plus;Making Apps HRIS employee;6;6;neo soho Residence, Podomoro City Lt 16 Unit 1629, Jl Letjend. S. Parman Kav 28;
PT. Mandiri Utama Finance;Business Analyst;- Mahasiswi/a jurusan sistem informasi atau teknologi infomasi bisnis atau teknik informatika  - Memiliki analytical thinking yang baik, ‘goal setting’ yang jelas, semangat tinggi, bekerja sama dalam tim, serta memliki inisiatif yang proaktif  - Memiliki attitude yang baik serta memiliki kemampuan berkomunikasi yang baik  ;- Menganalisa Initiative request yang diberikan leader dan membuat dokumen BRD  - Melakukan postif testing atas aplikasi yang ada dan menuliskannya dalam standard KMS yang ditentunkan  - Melakukan kordinasi dengan pihak pihak terkait dalam menggali informasi untuk kebutuhan analisa  ;6;6;Menara Mandiri 1 Lt 27, Jl. Jendral Sudirman, Kav 54-55;
PT. Nutrifood Indonesia;Application Developer;Participate in application development according to business requirements and needs.    (RUBY, SQL --> Microsoft SQL Server), RUBY framework-nya RAILS | optional prog. language PHP, PHP framework-nya CI, LARAVEL, NATIVE;Qualifications:  -Great Communication Skill and teamwork  -Strong understanding of interaction design and design process  -Interestwith front end and back end web development  -Quick Learner able critically think through problems and implement solution show less;8;6;Jl Rawabali 2 No 3 Kawasan Industri Pulo Gadung Jakarta Timur;
PT. Panji Edukasi Nusantara (Apple Developer Academy @BINUS);Apple Academy Program (Dedicated for APPLE Inc.,);- Kandidat merupakan student Binus 3+1;- Bersedia untuk ikut serta dalam program pelatihan (Beasiswa-Magang) selama 10 bulan, dari Februari hingga Desember;100;6;Green Office Park 9, BSD, Serpong;
PT. Bank CIMB Niaga, Tbk;IT Developer;-;PINTER (Program INTernship for IT DevelopER) dari CIMB Niaga;100;53;Jl. Wahid Hasyim No.3, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang, Banten 15224;
Kawan Lama Group;Systems Analyst;SQL  Analisa;- Documentation of the project  - Conduct testing to ensure that the systems work as expected;5;5;Jl. Puri Kencana No 1;
Kawan Lama Group;Quality Assurance;- Memiliki skill : Katalon, Java  - Mahasiswa jurusan IT.;- Memastikan bahwa perangkat lunak atau aplikasi yang dikembangkan mencapai tingkat kualitas yang tinggi melalui:  - Meninjau dan menganalisis spesifikasi persyaratan dan dokumen desain  - Membuat rencana uji yang rinci, komprehensif, dan terstruktur  - Menjalankan skrip uji dan meninjau hasilnya  - Pelaporan dan dokumentasi masalah teknis  - Bekerja sama dengan pengembang Full Stack;5;5;Gedung Kawan Lama, Jl Puri Kencana No.1, Kembangan Selatan;
Omni App Solutions Pte Ltd;Technical Consultant;As a community manager, you will be supporting our Singapore based customers on technical questions pertaining to our software. Conversational english is a must.;As a community manager, you will be supporting our Singapore based customers on technical questions pertaining to our software.;5;5;Tangerang;
Omni App Solutions Pte Ltd;Quality Assurance;Do you like the idea of working on services that are used by passionate people around the world? Do you enjoy working on challenges that are not yet solved?  Imagine what you could do here at Omni App Solutions!    Omni App Solutions puts users and user experience first, and is a place where new futuristic ideas and innovations have a way of becoming extraordinary products, services and the present very quickly.    A great Quality Assurance engineer can review, plan and influence key innovations that will deliver the best-in-class software experiences for the users.;Do you like the idea of working on services that are used by passionate people around the world? Do you enjoy working on challenges that are not yet solved?  Imagine what you could do here at Omni App Solutions!    Omni App Solutions puts users and user experience first, and is a place where new futuristic ideas and innovations have a way of becoming extraordinary products, services and the present very quickly.    A great Quality Assurance engineer can review, plan and influence key innovations that will deliver the best-in-class software experiences for the users.;5;5;Jakarta;
Omni App Solutions Pte Ltd;IT Support;Support Singapore based clients on various aspects of software setup. Conversational english is a must.;Support Singapore based clients on various aspects of software setup. Conversational english is a must.;5;5;WFH;
PT Adicipta Inovasi Teknologi (AdIns);Application Developer;- Majoring in Computer Science & Information System   - Good understanding of OOP and SQL   - Good interpersonal skill   - Good Communication Skill and Teamwork ;1. Melakukan modifikasi dan pengembangan program web sesuai dengan kebutuhan dan spesifikasi yang ada  2. Memperbaiki kesalahan program (bugs/defect)  3. Melakukan pengujian unit program;8;5;AdIns Malang Development Center Jl. Lembah Dieng No.7, Sumberjo, Kalisongo, Dau, Malang City, East Java 65151;
PT Bank Hibank Indonesia;Application Developer;Proficient in C#, SQL, HTML, JavaScript. Know about Go Language is better;Create application especially back office & middleware;6;5;Jl. Tomang Raya No.Kav.21-23, RT.1/RW.1;
PT Data Impian Bangsa;Back End Developer;- Have a basic understanding of relevant software engineering and computer science-related concepts.  - Interested in exploring, learning, and implementing new technologies, programming languages, and concepts.  - Continually grow both professionally and personally through various learning and development opportunities.;- Work on high impact projects, backend system and/or our internal tooling  - Learn to deliver requested application on time on scope;5;5;Jl. Kapten Tendean No.20C, RT.4/RW.3, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710, KUNINGAN BARAT, MAMPANG PRAPATAN, JAKARTA SELATAN, DKI JAKARTA 12710;
PT Global Loyalty Indonesia;Back End Developer;1. Basic knowledge in Java, springboot  2. Familiar with SOLID principle  3. Able to work within teamwork environment;1. Write clean code using latest technologies  2. Willing to join internal bootcamp for 2-3 month  3. Maintain and improve concurrent systems;5;5;Jl. Jalur Sutera Bar. No.Kav. 7-9, RT.003/RW.006, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;
PT Periksa Solusi Indonesia;Back End Developer;– Memiliki pengetahuan dan pengalaman menggunakan framework NodeJs, Express, dan NestJs.  – Memiliki pengetahuan yang dalam terkait REST API dan microservices architecture.  – Memiliki pengalaman menggunakan Unit Testing framework such as Jest.  – Memiliki pengetahuan terkait Docker.  – Memiliki pemahaman yang baik terkait website integration dan software creation.  – Memiliki pengetahuan yang kuat terkait OOP (Object Oriented Programming).  – Bisa menggunakan versioning control system seperti GIT.  – Memiliki kemampuan analisis dan penyelesaian masalah yang kuat.  – Self-motivated, driven and fast learner.;– Mengembangkan dan memelihara aplikasi backend menggunakan NodeJS.  – Mengembangkan dan memelihara database menggunakan MySQL dan PostgreSQL.  – Membangun dan memelihara database menggunakan Redis.  – Membuat unit testing menggunakan JEST.  – Menunjukkan kemampuan dokumentasi teknis.  – Menyelesaikan tugas secara efektif dan dalam tenggat waktu yang sudah ditetapkan.  – Menjunjung tinggi pengiriman standar berkualitas tinggi (dan kepatuhan web).  – Memecahkan masalah dan memperbaiki masalah apa pun yang berkaitan dengan program NodeJS;5;5;Gedung SOHO Pancoran, tower Splendor Unit 2102, Tebet, Jakarta Selatan;
PT Profesional Telekomunikasi Indonesia (Protelindo);Application Developer;- Experience in designing applications using .Net, ASP.Net, C#, PHP, or Node.js  - Fresh Graduate / Final Year in Information Technology.  - Ability to work in a team environment and work independently.;- Develop applications based on user needs by collaborating with respective stakeholders.  - Support other IT team's jobs based on request.;5;5;Menara BCA, 49th Floor, Jl. M.H. Thamrin No.1, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310;
PT Xylo Solusi Indonesia;Full Stack Developer;"- good logic  - able to code in html,css, JS, and PHP  - know laravel is a plus  - know figma is a plus""      ";- Website maintenance and website development          ;5;5;Office Park Thamrin City;
PT. INTERSKALA MANDIRI INDONESIA;IT Support;1. Pengecekan dan perbaikan jika ada masalah jaringan computer   2. Melakukan instalasi dan pemasangan CCTV serta pemeliharaannya  3. Melakukan setting computer,laptop sebelum dipergunakan user;1. Pengecekan dan perbaikan jika ada masalah jaringan computer   2. Melakukan instalasi dan pemasangan CCTV serta pemeliharaannya  3. Melakukan setting computer,laptop sebelum dipergunakan user;5;5;Green Sedayu Biz Park Jl. Daan Mogot KM 18, DM 12 No 62 RT.3/RW.8;
PT. Nostra Solusi Teknologi;Software Engineer;"We’re a small and innovative consultant company. We’re growing and seeking enthusiastic, creative, intelligent, and fun individuals to join us. In return, we can offer you a fun but hard-working environment where you can instantly see your contribution to the company’s success.    Internship Software Engineer    We are looking for smart, self-motivated software developers to join our truly exceptional development team.    About You      • You care about software; you have a passion for what you do, which you can clearly convey by your actions rather than just waffly personal statements on your CV.  • You have knowledge of Java and Object Oriented Programming Concepts.  • Have the intention always to learn  • Able to speak English  • Willing to relocate to the job location  • Self-motivated, resourceful, and creative problem solver  • High conceptual and analytical skill  • For you, it’s more than a job.  ";The Role    Our teams are cross-functional, self-organizing, and highly autonomous. No architects, or middle management. You’ll be working directly with our Product Managers and stakeholders in a highly collaborative manner. This approach requires a huge amount of teamwork and maturity and is not right for everyone, but we believe it’s the best way to create great software.    Among other things, TDD/BDD, Refactoring, and Continuous Delivery are deeply embedded, and we’re constantly striving to improve the way we work. We know typing is not the bottleneck, so among other things:      • Have around sharing sessions a week spending time doing things like Katas, Dojos, and discussing practices and technologies.  • However, we’re not perfect and not afraid to say so. We recognize we have many problems which need solving and a long way to go on our journey of continuous improvement.    Technologies We Use    Most of our stack is Java  but we’re using and investigating many other languages and technologies (e.g., Go, NodeJS, C++, Python). We’d be interested in candidates from any background as long as you have a keen understanding of Object Oriented languages. Here’s a (not exclusive) list of technologies we currently use:      • Java, Spring Framework, Hibernate,  • PostgreSQL, MongoDB, Redis  • Linux, Jenkins, AWS, GCP  • Cucumber, Selenium  • REST, OAuth  • Git  ;5;5;Jakarta Selatan;
PT. OpenWay Teknologi Indonesia;Full Stack Developer;- Having experience with Java Programming Language  - Able communicate in English  - Experience in database and database design.   - Willingness to dive deep into a complex subject area (card processing).   - Persistence and endurance ;- Developing new and existing integration platform services for interaction with external systems.  - Developing and supporting the specification of protocols for interaction with external systems (XML, WS, Rest).  - Immersion in the subject area (payment system, payment devices, protocols).  - Interaction with other teams.;5;5;Green Office Park Building . Jl. BSD Grand Boulevard Jl. BSD Green Office Park No.Kel, Sampora, Kec. Cisauk, Kabupaten Tangerang, Banten 15345;
PT. SQIVA Sistem;Software Engineer;- IPK minimal 3.  - Kemampuan untuk menggunakan satu atau bahasa pengembangan lebih lanjut (PHP, HTML, CSS, Javascript).  - Dinamis, bersedia bekerja diluar jam kerja untuk memastikan tercapainya “dead-line”.  - Berorientasi pada kualitas kerja.  - Keterampilan komunikasi yang baik.  - Kemampuan untuk bekerja sama dalam tim.  - Kemampuan berbahasa Inggris, memberikan nilai tambah.;- Me-review sistem dan produk berjalan dan mempresentasikan ide-ide untuk perbaikan.  - Merencanakan dan menyusun spesifikasi program secara rinci dan menulis “coding”.  - Menguji “coding” pemrograman dalam situasi terkendali dan implementasi di klien.  - Menyusun manual pelatihan bagi pengguna sistem.;5;5;Dipo Tower 7th Floor Unit B/C, Jl. Jend. Gatot Subroto Kav. 50-52, Jakarta Pusat;
PT. Super Giga Generasi (Fotoyu);Back End Developer;Requirements:  Open for computer science, or related field.  Willing to learn and able to use the system used by the company  Willing and able to handle unexpected change that occur in the system used.  Able to work in a team, both in the same division and across divisions.  Understand and be able to implement the basics and concepts of programming.;Job Details:  Create, repair, enhance and review other APIs / services on the system used.  Collaboration with other divisions.  System documentation.  Prepare technical matters needed for changes or additions to running and new systems.    Benefits:  Work from home, yeah!  Flexible hours  Learn & train by our expert engineers  Casual dress code  Competitive salary  Fun & humble culture  Networking  Office Perks  Team bonding events  Potential intern graduates will be accepted as full-time employees;5;5;Kembangan, Jakarta Barat;
PT. WhiteOpen Teknologi;Technical Writer;- Communication skills.  - A keen eye for detail.  - Having knowledge of User Interface design.  - Having knowledge of database design.;- Membuat dokumen design sesuai kebutuhan aplikasi.  - Membuat dokumen skenario test sesuai dengan proses bisnis aplikasi.  - Menjalankan skenario test dan mencatat hasil tes dalam dokumen.  - Melakukan komunikasi dengan tim development mengenai hasil menjalankan skenario test.;5;5;Kompleks Duta Harapan Indah Blok VV No C3;
PT. WhiteOpen Teknologi;Technical Writer;- Communication skills.  - A keen eye for detail.  - Having knowledge of User Interface design.  - Having knowledge of database design.;- Membuat dokumen design sesuai kebutuhan aplikasi.  - Membuat dokumen skenario test sesuai dengan proses bisnis aplikasi.  - Menjalankan skenario test dan mencatat hasil tes dalam dokumen.  - Melakukan komunikasi dengan tim development mengenai hasil menjalankan skenario test.;5;5;Kompleks Duta Harapan Indah Blok VV No C3;
PT. WhiteOpen Teknologi;QC Tester;- Communication skills.  - A keen eye for detail.  - Having knowledge of User Interface design.  - Having knowledge of database design.;- Membuat dokumen design sesuai kebutuhan aplikasi.  - Membuat dokumen skenario test sesuai dengan proses bisnis aplikasi.  - Menjalankan skenario test dan mencatat hasil tes dalam dokumen.  - Melakukan komunikasi dengan tim development mengenai hasil menjalankan skenario test.;5;5;Kompleks Duta Harapan Indah Blok VV No C3;
PT. WhiteOpen Teknologi;QC Tester;- Communication skills.  - A keen eye for detail.  - Having knowledge of User Interface design.  - Having knowledge of database design.;- Membuat dokumen design sesuai kebutuhan aplikasi.  - Membuat dokumen skenario test sesuai dengan proses bisnis aplikasi.  - Menjalankan skenario test dan mencatat hasil tes dalam dokumen.  - Melakukan komunikasi dengan tim development mengenai hasil menjalankan skenario test.;5;5;Kompleks Duta Harapan Indah Blok VV No C3;
BPK PENABUR Jakarta;Full Stack Developer;Minimal IPK 3.00;1. Develop aplikasi mobile untuk Android  2. Develop aplikasi mobile untuk Apple  3. Develop aplikasi web (php ataupun framework)  4. Mengerti konsep database (SQL/ mySQL);4;4;Jl Pangeran Diponegoro No.78 RT 02 RW 06 Kec Senen Jakarta Pusat;
Kawan Lama Group;Front End Developer;- Mahasiswa jurusan Ilmu Komputer  - Skill : React Js  ;Anda akan bertanggung jawab dalam penerapan elemen visual dan berinteraksi dengan pengguna dalam aplikasi web, serta melakukan terjemahan wireframe desain UI / UX ke kode aktual yang akan menghasilkan elemen visual aplikasi dalam web (akan bekerja dengan desainer UI / UX dan menjembatani kesenjangan antara desain grafis dan implementasi teknis).;5;4;Gedung Kawan Lama, Jl Puri Kencana No.1, Kembangan Selatan;
Kawan Lama Group;Data Scientist;    R Studio      Python      Google Data Studio      AWS      Presentation skill;Membantu melakukan prosesing data untuk prediktif analysis, dan membuat model untuk prediktif analysis;5;4;Jl. Puri Kencana No 1;
Kawan Lama Group;Back End Developer;- Mahasiswa jurusan Teknologi Informatika atau Sistem Informatika  - Skill : Golang;Anda akan merancang dan mengembangkan platform backend, termasuk perbaikan dan peningkatan kinerja aplikasi dan maintain standart kualitas pengkodean. Menulis Unit Test untuk membangun aplikasi yang tangguh, termasuk edge cases, usability dan reliability;5;4;Gedung Kawan Lama, Jl Puri Kencana No.1, Kembangan Selatan;
NTT Indonesia Technology;Data Engineer;- Candidate must have knowledge of Data Management application such as DBMS/ETL/SSIS/Talend/Informatica/Azure Synapse/AWS Glue/GCP BigQuery/Python/AI/ML  - A Barchelor's in Information Technology or Information System  - Ability to demonstrate an understanding of computer science fundamentals, including data structures and algorithms;- The candidate will have to build data programs and services  - The candidate will have to manage communication and presentation skill  - The candidate will also be expected to demonstrate an ability to learn and adopt relevant new technologies, tools, methods and processes to leverage in your solutions.;4;4;DBS Tower 22nd floor, Jl. Prof. DR. Satrio No.Kav. 3 - 5, RT.18/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940;
